number_of_air_conditioners,ac_power_hp,number_of_refrigerators,number_of_televisions,number_of_fans,number_of_computers,average_daily_usage_hours,season,house_size_m2,insulation_quality,has_water_heater,washing_machine_usage_per_week,monthly_energy_consumption_kwh,monthly_electricity_bill_egp
0,1.5,1,1,4,1,5.691849184191708,summer,54.46214385848971,high,0,4,962.2239643395807,1156.847024584872
0,1.5,1,0,3,1,8.265847743654192,winter,75.08178887737675,medium,1,3,1093.4685742352235,1316.8305172052046
0,1.5,1,1,3,0,7.380622578550725,winter,66.06266880517904,medium,1,0,1044.0153990523067,1256.0248807685975
0,2.25,2,0,4,1,6.451081751175092,summer,50.0,medium,0,5,1841.7800977456916,2211.915723235985
2,3.0,1,1,0,1,8.697532099869974,winter,132.58457440992635,high,1,5,2158.8588036712104,2591.6870709535783
0,3.0,2,1,2,2,7.556049625424481,winter,64.67845282521095,low,0,3,1875.2093906291716,2248.3082231166204
3,3.0,1,1,2,1,3.637413286911709,winter,193.34122393627771,low,1,0,2104.1661124538514,2526.1765781653817
4,1.5,2,2,1,0,8.8773340993517,summer,264.50945850881874,low,0,3,4911.269267873851,5894.2224209717915
0,2.25,2,3,1,1,4.9210579369748775,summer,50.0,high,1,1,2029.008509557923,2423.5185563260848
2,3.0,2,2,0,2,7.430717686932493,winter,144.07835890444332,low,1,5,3377.111801230896,4050.584813324536
2,2.25,2,1,1,1,8.428116043195233,winter,148.7274752363648,high,0,1,2544.0740954889684,3054.092948660491
0,2.25,2,3,3,0,9.283509913840248,summer,61.4052746169987,medium,0,5,1891.7582970381907,2270.6338946266333
4,3.0,1,1,3,1,9.476774319666212,winter,213.37094166881084,high,1,0,3329.4495166547626,3994.2018494216322
0,2.25,1,0,1,0,9.480601191813449,winter,50.0,medium,1,6,1169.5033287751949,1410.9741092185309
2,2.25,1,3,2,1,7.600233117264443,summer,131.5364408693728,medium,0,3,2553.922925857463,3067.0686810360594
1,3.0,1,2,0,1,7.369250196127386,summer,96.75930414689924,high,0,1,1758.1921901365024,2114.9307658719936
3,1.5,2,1,3,0,3.1033064014161007,summer,176.76890640125941,high,0,3,2268.86923905112,2724.185911654429
2,3.0,1,3,0,1,3.591839689771759,summer,152.67702655277122,medium,0,4,1893.7136650439732,2276.2656960474415
0,1.5,1,2,1,0,5.748096625090895,summer,53.00781512287682,high,1,5,1088.9149006649895,1309.1802070588235
3,1.5,1,0,4,1,8.54995760716308,winter,180.19597992142636,low,1,6,2415.372368375038,2892.1035912856773
0,1.5,1,1,0,0,7.1444488969119115,summer,75.64185075692937,medium,0,2,881.8448079837001,1054.8100238675884
0,3.0,1,2,0,1,4.646722893431443,summer,61.88979142977966,medium,0,3,935.911703510391,1121.2402790249193
1,2.25,2,3,1,1,3.860190928432994,winter,112.79952031494483,medium,1,4,2224.1569752930877,2669.346923845191
3,3.0,2,0,1,1,6.277429739801951,summer,169.4094805572297,low,0,2,5091.833830349998,6106.876205803839
3,3.0,1,1,3,2,9.390605243228928,winter,169.60252606604143,low,1,5,3825.9317651697916,4590.808418781761
1,2.25,2,2,4,1,3.371924287134841,summer,50.0,medium,1,3,2402.547652374517,2880.9966774266286
2,2.25,1,0,4,2,6.238505489154594,winter,137.88873164359785,low,0,3,1875.5774562726142,2244.90074373759
0,3.0,2,0,0,0,3.4132397418006017,summer,50.0,medium,0,0,1750.5646858818338,2098.1454637775564
4,1.5,2,2,4,2,4.75057448540686,summer,197.27404130747408,low,1,2,3731.861744076469,4486.696282019651
0,2.25,1,1,1,1,9.676618571100981,winter,76.82311594145685,high,0,1,966.2178096343906,1166.3267645686967
0,1.5,2,2,1,1,3.7327353978948477,summer,73.28279328004632,medium,1,2,1951.2056711731905,2347.2590910931576
2,1.5,1,0,1,2,3.3559117488081984,winter,135.5778214437814,low,1,6,1468.9838559196396,1765.0198372018363
0,1.5,1,0,0,2,3.610173945750181,summer,59.41014691064319,low,0,3,938.4850221205987,1125.6664627405416
1,3.0,2,3,2,2,7.841804554548689,winter,107.60541004245037,high,1,0,2604.2826997954207,3129.7713074240573
1,2.25,2,1,1,1,3.0850653536687296,summer,108.60371867051839,high,0,3,2022.5749083476535,2429.0749633592877
3,2.25,2,2,4,0,5.755594819945916,winter,160.35434087084857,medium,0,5,2740.6575793914667,3281.7805252502676
4,1.5,2,1,4,2,9.673400906468675,summer,221.18101570098742,medium,0,3,4582.583967102174,5499.996109654743
0,2.25,1,1,1,0,3.4820919008481317,summer,50.0,medium,1,2,1022.4032254501338,1221.4155489964778
0,3.0,1,0,2,2,9.524478720835045,summer,61.18895397482389,high,0,1,1022.0573996176547,1225.8214579114847
2,1.5,1,3,0,2,3.822830296641814,winter,122.06512153203595,high,1,3,1282.8385674777953,1532.3328823101872
1,1.5,1,2,1,2,3.89450216563037,summer,91.04095919575751,high,1,4,1290.5878919516465,1543.509864250249
4,2.25,1,2,0,0,7.233807102512365,summer,196.48696740153812,low,0,1,4699.560695005864,5636.647913017481
3,3.0,1,3,2,1,4.70756938492524,summer,176.81367160065912,low,0,3,3421.666586942228,4110.548921213576
1,1.5,2,3,1,1,3.021357576297678,winter,80.01056169784603,high,1,5,2072.654380524849,2489.4861196881243
3,3.0,1,0,1,1,8.246341935633726,summer,222.38468865632143,high,0,5,3629.4826784952206,4358.4654824383815
2,3.0,1,0,1,1,5.5959702059105725,summer,113.33092531994626,medium,1,5,2648.7606186914904,3175.366177239841
2,2.25,2,2,3,2,9.356875706958716,summer,160.8804225228668,low,1,0,4599.763139650658,5513.927688737413
0,3.0,2,3,1,0,4.946616991165801,winter,52.18696722351591,high,0,2,1772.488958610976,2124.5091856149807
4,3.0,1,1,1,2,7.68515814289707,winter,214.11437633254866,medium,0,5,3205.7496685437363,3853.2350985462554
3,3.0,1,1,2,1,5.284637651430931,winter,186.9658133020151,medium,1,2,2321.0500626044036,2791.944625759423
1,3.0,2,3,2,1,4.038352236792933,summer,73.60324559790047,high,0,1,2238.652134570071,2683.583765062095
2,2.25,1,2,3,2,9.823855901673227,winter,154.91776687646626,medium,0,3,2165.1929732548642,2600.853365207058
0,3.0,2,1,1,2,7.117232671939004,summer,53.468533718435935,high,1,2,2023.5548344176175,2422.12565149635
0,1.5,2,1,4,1,8.878082987424587,summer,50.0,medium,0,6,1902.0045740338408,2272.3059060199216
3,1.5,2,3,0,2,4.7512884434815295,summer,176.92937583154756,low,1,1,3201.441390399172,3838.657969672788
2,2.25,1,0,1,1,5.752451965458718,summer,131.58043132200714,low,0,2,2432.9860622600845,2920.437983510285
4,3.0,1,1,3,0,6.338219253355189,winter,205.150508653392,low,0,2,3295.448792585662,3956.561057587242
2,3.0,2,0,4,0,7.407445050137403,winter,130.25362042720315,low,1,3,3304.1965582059174,3965.854757596845
3,3.0,2,1,2,2,5.7640796324499455,summer,205.08892868188104,medium,1,0,4321.877974699743,5186.53834653034
3,2.25,1,2,0,0,4.7317077856220715,winter,187.10433401767,low,0,6,1914.960184799937,2294.9986827594926
2,2.25,1,0,3,1,4.329155170234597,summer,105.30594969466038,high,0,5,1642.2195594721727,1964.8243959450012
3,3.0,1,2,2,1,7.194881836229098,winter,140.47408247590386,low,1,4,3142.0914400280676,3770.770149856498
2,2.25,2,0,1,0,4.733591013308824,winter,122.94665637018409,high,0,2,2144.8025526797114,2572.0861789781798
1,2.25,2,3,3,1,5.776252711867399,winter,120.5680397724754,high,0,4,2122.748017316404,2560.607724526924
2,3.0,2,3,1,0,3.2427536508938712,winter,152.9940955167178,high,1,1,2264.2109306221714,2721.9505863358704
2,3.0,1,1,3,2,4.7950789016214905,winter,114.25218921222877,medium,0,6,1670.7297003834574,2007.2852959370462
3,3.0,2,2,3,1,6.381006179071933,summer,154.35202044848106,high,0,6,3913.812324188907,4696.750509850329
3,1.5,2,0,1,0,8.572342486920117,winter,174.68311754958853,medium,1,5,2871.4344399126308,3439.6807369272633
0,2.25,2,2,3,2,5.611347973740361,winter,50.0,high,0,3,1875.4995038158606,2250.480477533585
0,1.5,1,2,2,2,5.066120956228644,winter,50.0,low,1,0,1158.2402340428164,1385.1254840703991
1,1.5,2,1,2,0,6.61253906547236,winter,86.9909439426977,low,1,3,2246.181382713843,2697.5571847518986
0,1.5,2,3,0,2,3.3483315554272424,summer,50.0,medium,0,3,1822.1828441058162,2188.02295512944
2,3.0,1,0,0,2,5.477317219067578,summer,106.05445671661097,high,0,4,2132.498333007832,2560.004532490114
3,3.0,2,1,3,0,3.946943199168944,winter,155.35647527411265,medium,0,4,2637.093248412008,3159.2927705149623
0,3.0,1,2,2,2,4.774672999739734,summer,50.0,medium,0,1,961.0524941544802,1138.8225986621967
0,3.0,1,3,1,1,5.734605551352889,winter,50.0,high,0,1,985.308592713891,1183.4526456882975
1,3.0,2,3,3,1,3.4062375366886934,winter,68.34531769458664,medium,0,1,2051.7325693857847,2451.529168340511
1,2.25,1,0,1,0,8.580670733298204,summer,85.3041570205531,low,1,2,2288.913794984018,2751.154800511495
2,2.25,2,3,4,2,4.923116769444778,summer,135.17262326665607,medium,0,1,2865.9039264787257,3431.50351386911
3,2.25,1,2,0,0,4.629827842546044,winter,184.4145761198182,medium,1,4,1884.4244982998214,2260.5722386028224
1,2.25,2,3,3,2,5.4048596416470644,winter,84.68278383253168,low,0,2,2268.788763519704,2721.5059077742517
0,2.25,1,2,3,2,5.574922844052876,summer,82.15411508218418,high,1,0,1096.8557922318842,1317.5827860041943
3,2.25,1,0,1,0,8.68884398469185,summer,183.41220073168952,low,0,2,4327.848663340282,5196.7941500483585
3,3.0,1,2,0,1,4.9932991825873225,summer,193.34383311729815,high,1,0,2749.7717484517443,3307.6967652399057
0,2.25,2,3,1,2,6.223826906729759,summer,65.0809598792419,low,0,0,1889.6143662753173,2268.6441020739785
1,1.5,2,3,1,2,6.4871652881925845,winter,86.36960596910643,high,0,2,2083.3760306476324,2500.9493181156154
0,2.25,2,0,0,1,5.139320006506598,winter,50.0,low,0,3,1746.862548089767,2100.831562715794
3,3.0,1,0,4,1,8.483263294254435,summer,172.26320142202337,low,1,3,5635.195150757218,6756.6940611215605
4,3.0,1,3,2,2,7.367910176090772,winter,229.4399401811921,high,1,6,2969.378070928682,3561.7453420647666
4,2.25,2,0,2,2,8.046977322099973,winter,208.08470257462872,low,0,3,4120.309500926371,4946.747183303612
2,3.0,2,2,4,2,3.382009343182634,summer,97.49638295583316,high,1,2,2775.6821735684243,3332.6035917214695
0,3.0,1,1,0,1,8.73660785646367,winter,50.0,low,1,3,1204.586668230021,1449.1039493550627
0,2.25,1,2,3,2,4.682671514515842,summer,50.0,medium,0,1,984.1236997803569,1175.965969399801
2,1.5,1,2,0,2,3.6426459485575924,summer,120.57887467059557,medium,0,2,1420.6724417308956,1701.9005959653148
